economy_label,vessel_type,avg_vessel_age,median_time_in_port,avg_size_GT,avg_cargo_capacity_DWT,avg_container_capacity_TEU,max_size_GT,max_cargo_capacity_DWT,max_container_capacity_TEU,period
Italy,Roll-on/ roll-off ships,14,,36456,13587.0,,85000,45700.0,,2023-S2
Italy,Container ships,17,0.87,44570,,3970.0,236184,,24000.0,2023-S2
Italy,Passenger ships,30,,8559,,,228081,,,2023-S2
Japan,All_Vessel_Types,14,0.41,10519,14925.0,1649.0,236500,327017.0,15500.0,2023-S2
Japan,Liquid bulk carriers,12,0.32,8180,13807.0,,166639,320299.0,,2023-S2
Japan,Liquefied petroleum gas carriers,12,0.37,6774,7425.0,,54634,58811.0,,2023-S2
Japan,Liquefied natural gas carriers,14,1.01,68572,49422.0,,163922,130442.0,,2023-S2
Japan,Dry bulk carriers,14,0.87,16946,29218.0,,161294,327017.0,,2023-S2
Japan,Dry breakbulk carriers,14,1.11,6863,9105.0,,49903,80500.0,,2023-S2
Japan,Roll-on/ roll-off ships,12,,17131,7405.0,,77644,43878.0,,2023-S2
Japan,Container ships,12,0.35,16887,,1649.0,236500,,15500.0,2023-S2
Japan,Passenger ships,15,,5485,,,171598,,,2023-S2
"Korea, Republic of",All_Vessel_Types,15,0.86,20044,22011.0,3038.0,236583,326932.0,24000.0,2023-S2
"Korea, Republic of",Liquid bulk carriers,13,0.75,13847,23871.0,,167578,323514.0,,2023-S2
"Korea, Republic of",Liquefied petroleum gas carriers,14,0.89,8800,9632.0,,54696,62500.0,,2023-S2
"Korea, Republic of",Liquefied natural gas carriers,12,1.03,107652,84181.0,,168189,154940.0,,2023-S2
"Korea, Republic of",Dry bulk carriers,13,2.67,33933,61335.0,,161294,326932.0,,2023-S2
"Korea, Republic of",Dry breakbulk carriers,19,1.19,5444,7918.0,,66870,80344.0,,2023-S2
"Korea, Republic of",Roll-on/ roll-off ships,21,,28960,11775.0,,89797,47528.0,,2023-S2
"Korea, Republic of",Container ships,14,0.66,32824,,3038.0,236583,,24000.0,2023-S2
"Korea, Republic of",Passenger ships,11,,15949,,,171598,,,2023-S2
Netherlands (Kingdom of the),All_Vessel_Types,19,0.55,12607,14802.0,3240.0,237000,324922.0,24116.0,2023-S2
Netherlands (Kingdom of the),Liquid bulk carriers,17,0.54,8961,17623.0,,170611,323182.0,,2023-S2
Netherlands (Kingdom of the),Liquefied petroleum gas carriers,15,1.06,6545,7234.0,,50400,58263.0,,2023-S2
Netherlands (Kingdom of the),Liquefied natural gas carriers,8,1.04,76920,59907.0,,163922,130059.0,,2023-S2
Netherlands (Kingdom of the),Dry bulk carriers,12,1.29,36495,65148.0,,173712,324922.0,,2023-S2
Netherlands (Kingdom of the),Dry breakbulk carriers,25,0.38,3824,5621.0,,84503,98370.0,,2023-S2
Netherlands (Kingdom of the),Roll-on/ roll-off ships,24,,19564,7522.0,,89797,48988.0,,2023-S2
Netherlands (Kingdom of the),Container ships,16,0.8,35431,,3240.0,237000,,24116.0,2023-S2
Netherlands (Kingdom of the),Passenger ships,16,,14407,,,206285,,,2023-S2
Norway,All_Vessel_Types,14,0.43,3924,7685.0,803.0,184089,318689.0,2474.0,2023-S2
Norway,Liquid bulk carriers,16,0.68,11867,19301.0,,166639,318689.0,,2023-S2
Norway,Liquefied petroleum gas carriers,11,0.73,6482,6903.0,,37366,42543.0,,2023-S2
Norway,Liquefied natural gas carriers,16,0.33,21539,15842.0,,121597,95289.0,,2023-S2
